result_id|test_id|sample_size_mean_op|sample_size_mean|sample_size_min_op|sample_size_min|sample_size_max_op|sample_size_max|sample_size_unit|sample_size_comments|obs_duration_mean_op|obs_duration_mean|obs_duration_min_op|obs_duration_min|obs_duration_max_op|obs_duration_max|obs_duration_unit|obs_duration_comments|endpoint|endpoint_comments|trend|effect|effect_comments|measurement|measurement_comments|response_site|response_site_comments|effect_pct_mean_op|effect_pct_mean|effect_pct_min_op|effect_pct_min|effect_pct_max_op|effect_pct_max|effect_pct_comments|conc1_type|ion1|conc1_mean_op|conc1_mean|conc1_min_op|conc1_min|conc1_max_op|conc1_max|conc1_unit|conc1_comments|conc2_type|ion2|conc2_mean_op|conc2_mean|conc2_min_op|conc2_min|conc2_max_op|conc2_max|conc2_unit|conc2_comments|conc3_type|ion3|conc3_mean_op|conc3_mean|conc3_min_op|conc3_min|conc3_max_op|conc3_max|conc3_unit|conc3_comments|bcf1_mean_op|bcf1_mean|bcf1_min_op|bcf1_min|bcf1_max_op|bcf1_max|bcf1_unit|bcf1_comments|bcf2_mean_op|bcf2_mean|bcf2_min_op|bcf2_min|bcf2_max_op|bcf2_max|bcf2_unit|bcf2_comments|bcf3_mean_op|bcf3_mean|bcf3_min_op|bcf3_min|bcf3_max_op|bcf3_max|bcf3_unit|bcf3_comments|significance_code|significance_type|significance_level_mean_op|significance_level_mean|significance_level_min_op|significance_level_min|significance_level_max_op|significance_level_max|significance_comments|chem_analysis_method|chem_analysis_method_comments|endpoint_assigned|organism_final_wt_mean_op|organism_final_wt_mean|organism_final_wt_min_op|organism_final_wt_min|organism_final_wt_max_op|organism_final_wt_max|organism_final_wt_unit|organism_final_wt_comments|intake_rate_mean_op|intake_rate_mean|intake_rate_min_op|intake_rate_min|intake_rate_max_op|intake_rate_max|intake_rate_unit|intake_rate_comments|lipid_pct_mean_op|lipid_pct_mean|lipid_pct_min_op|lipid_pct_min|lipid_pct_max_op|lipid_pct_max|lipid_pct_comments|dry_wet|dry_wet_pct_mean_op|dry_wet_pct_mean|dry_wet_pct_min_op|dry_wet_pct_min|dry_wet_pct_max_op|dry_wet_pct_max|dry_wet_pct_comments|steady_state|additional_comments|companion_tag|created_date|modified_date|old_terretox_result_number
198582|1212738||||||||||72|||||h||EC50||DEC|POP||PGRT|||||||||||F|||3367.9|||||ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/STRAIN//||01/19/2001||
2176441|2095522||||||||||72|||||h||LOEC||DEC|BCM||FLRS/|NON-PHOTOCHEMICAL QUENCHING|||||>|60|<|80|OF CONTROL, FROM GRAPH|F|||250|||||nM|DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS|||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R|||||||||||||||||||||||||||||||||EFCT%/OF CONTROL, FROM GRAPH//CONC1/DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS// ||02/07/2014|02/07/2014|
713354|1262587||||||||||24|||||h||EC50||DEC|POP||ABND/|AUTHOR REPORTED CULTURE POPULATION CHANGE AS INHIBITION OF ALGAL REPRODUCTION||||||||||A|||0.082||0.075||0.089|umol/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/KRAUSS, STRAIN 211-15, GROWN PHOTOAUTOTROPHICALLY IN INORGANIC STERILISED MEDIUM, ENRICHED WITH 1.9MMOL PER LITER NAHCO3 AS BUFFER//DNUM/13//TESTID/1//OEF, BASELINE EC50 BASED ON QSAR, NOT CODED, FROM REVIEW//||10/24/2007||
2200676|2110007||||||||||6|||||wk||NOEC||DEC|POP||ABND/|STATS TO V CONTROL||||||||||A|||||4.33||268.00|ug/L|ONLY CONC TESTED|||||||||||||||||||||||||||||||||||||||||||||ANOSIG|A||0.05||||||M||R|||||||||||||||||||||||||||||||||CONC1/ONLY CONC TESTED// ||06/11/2014|06/11/2014|
2380412|2190107||||||||||96|||||h||NOEL||DEC|CEL||NLEI/|RELATIVE VOLUME FRACTION.  MITOCHONDRIA ALSO REPORTED.  SEVERAL STATISTICAL METHODS USED.||||||||||A|||89|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||ANOSIG|||||||||M||R||||||||||||||||||||||||||||||||| CHAR/USED WITH TREATMENT.//DNUM/4//DOSES/22/42/89 ug/L//||04/11/2017|04/11/2017|
235648|1244376||||||||||96|||||h||NOEC||DEC|BCM||PRTL|||||||||||F|||25|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||NOSIG|P|<|1e-4||||||U||P||||||||||||||||||||||||||||||||| TESTID/1//MSMT/NR//DOSES/12.5/25/50/100/200 UG/L//SOURCE/LAB//WTINT/NR//DNUM/6//SEX/NR//TMETH/ASTM//STYPE/NR//ETIME/96 H//AP RATE/NR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/5//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//|69821|06/08/2007|04/10/2017|
733385|1279990||||||||||5|||||d||LOEL||DEC|POP||ABND/|CHLOROPHYLL A ALSO REPORTED|||>|99||||||A|||250|||||ug/L||||||||||||||||||||||||||||||||||||||||||||||SIG|P|<=|0.05||||||U||R||||||||||||||||||||||||||||||||| DNUM/6//DOSES/32/54/90/150/250 ug/L//TESTID/2//OEF/RECOVERY////|1279990|09/26/2008||
2176449|2095527||||||||||72|||||h||LOEC||DEC|PHY||PSYN/|MAX RATE|||||>|20|<|40|OF CONTROL, FROM GRAPH|F|||250|||||nM|DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS|||||||||||||||||||||||||||||||||||||||||||||SIG|P|<|0.05||||||U||R|||||||||||||||||||||||||||||||||EFCT%/OF CONTROL, FROM GRAPH//CONC1/DATA NOT PRESENTED FOR 25, 65, 125, 500, 1000, 2000 AND 10000 NM CONCS// ||02/07/2014|02/07/2014|
785413|1326062||||||||||10|||||h||EC50||DEC|POP||PGRT/|POPULATION MEASURED AS CELL DENSITY||||||||||A|||423||148||1207|ug/L|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/VACUOLATUS STRAIN 211 8B, EXPONENTIAL PHASE OF GROWTH//DNUM/6//DOSES/30 to 1000 ug/L//TESTID/1//||06/03/2010||
800010|1339118||||||||||24|||||h||EC50||DEC|POP||PGRT/|CELL NUMBER BASED GROWTH RATE||||||||||F|||1.5||1.1||2.1|uM|||||||||||||||||||||||||||||||||||||||||||||||||||||||U||P||||||||||||||||||||||||||||||||| LIFESTG/CELLS PER ML//DNUM/8//DOSES/0.1/0.3/1/3/10/30/100 uM//TESTID/5//OEF/IRRADIANCE////||09/07/2011||
